Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
Baby Driver	01 hours 53 minutes	Action; Drama; Thriller; Crime; Music	January 1, 1970		CJ Jones				American Sign Language; English	USA	1-10% Sign Language Usage				After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.	https://deafmovie.org/title/baby-driver/
Baby Einstein: My First Signs		Family; Short	April 4, 2017		Marlee Matlin				American Sign Language	USA			Kids Free		The older babies get, the better their eye-hand coordination becomes; it is essential to teach children how to use sign language to express themselves from an early age.	https://deafmovie.org/title/baby-einstein-my-first-signs/
Baby I Try for You [Tim Sweeney]		Music; Short	January 30, 2013	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Amber Zion; Anthony Natale	Jules Dameron			American Sign Language	USA	50-100% Sign Language Usage				N/A	https://deafmovie.org/title/baby-i-try-for-you-tim-sweeney/
Bangkok Dangerous		Action; Romance; Thriller; Crime	September 14, 2000	Movies with No Deaf Actors | Leading Roles; Movies											The story is of a deaf-mute hitman and his partner who are based in Bangkok. He is friends with his partner’s girlfriend who is a stripper at a local club. They go about their assassination business as usual as the boss climbs the underworld ladder and forms new alliances. Flashbacks explain how he got to this point in his life. He forms a relationship with a young woman from the pharmacy who is caring and innocent. The hunts continue as treachery begins. A big name hit makes him realize that good people are hurt by his actions. The first rule of assassination closes in on him as he strikes revenge.	https://deafmovie.org/title/bangkok-dangerous-3/
Barfi!		Comedy; Drama; Romance	September 13, 2012	Movies with No Deaf Actors | Leading Roles; Movies						India					Three young people learn that love can neither be defined nor contained by society’s definition of normal and abnormal.	https://deafmovie.org/title/barfi/
Battery Number One (orig. title: Edinichka)	1 minutes	Drama; War	May 9, 2015						Russian	Russia					It’s August, 1944. The Soviet Troops continue the offensive in Eastern Poland. The lieutenant Egorov’ subdivision gets the task to hold the bridge to be crossed by the Soviet Army units. On arrival to the position the soldiers find the destroyed monastery and the group of deaf-muteorphans with their teacher Eve inside. Eve has lost the faith but she finds the sense of life in taking care of and saving infirm and defenceless children. There is complicated choice for Egorov – if he executes the order of the headquarters he has to compromise the little Poles. The artillerymen try to do their best to prevent children’s death.	https://deafmovie.org/title/edinichka/
Battle Lines		Drama; Short; War	November 11, 2014	Shorts with Deaf Actors | Leading Roles; Shorts					British Sign Language	United Kingdom	50-100% Sign Language Usage	BSLZone	Free Short		During WW1 Arthur Robertson is forced to come face to face with more struggles than he bargained for. Watching his personal battle unfold proves that sometimes all that matters is knowing you matter.	https://deafmovie.org/title/battle-lines/
Beach Nuts		Comedy; Short	August 15, 1927	Shorts with Deaf Actors | Leading Roles; Shorts	Tommy Albert (Emerson Romero)					USA	x Mime				N/A	https://deafmovie.org/title/beach-nuts/
Being Michelle		Documentary	April 2, 2022	x Documentaries					American Sign Language	USA					BEING MICHELLE follows the astounding journey of a deaf and disabled woman who survived incarceration under unimaginable circumstances by a system that refused to accommodate her needs as a deaf person with autism. Michelle’s trajectory changed when she met Kim Law, a blind volunteer life coach who teaches classes to people in prison. Today, outside of prison, Kim and Michelle are doing the difficult work of unraveling Michelle’s history, of telling the story of Michelle’s traumatic childhood and her adverse experiences in the criminal justice system. With the support of Kim, Michelle realizes her own voice and strength. Throughout the film Michelle’s artwork provides her own depiction of the trauma she survived as well as a means to her recovery. Ultimately, BEING MICHELLE is a story of redemption. It is about the bonds between women committed to thriving in a broken system, who are forging a path to healing that can only come through facing the truth and communicating it, together.	https://deafmovie.org/title/being-michelle/
Bellanca	18 minutes	Drama; Short	April 14, 2016	Shorts with No Deaf Actors | Leading Roles; Shorts					Spanish Sign Language; Spanish	Spain	25-50% Sign Language Usage				Close your eyes and imagine never opening them again. Now imagine that, over time, your ears stop perceiving sounds. How would your life change?Bellancais the story of a very special girl who gives meaning to her father’s life, as he struggles with Usher syndrome—a condition that takes away both sight and hearing from those who have it.	https://deafmovie.org/title/bellanca/
Between Shadows and Whispers		Biography; Documentary	December 1, 2012	x Documentaries; x Documentaries by Non-Deaf Directors					Spanish	Venezuela					Miriam Torres stopped seeing and hearing at the age of 7. She learned to speak whilst being deaf-blind and now at 55 years old, she teaches other people with the same disability on how to communicate with others. Based on the diaries of Miriam, the film takes you through the inner journey of a woman seeking to recall the forgotten sights and sounds of her childhood, her mother’s face, her own face, and the last image she saw and heard in her life.	https://deafmovie.org/title/between-shadows-and-whispers/
Beyond Essays	12 minutes	Drama; Short	February 2, 2010	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Amber Zion; Antoniette Abbamonte	Jules Dameron			American Sign Language	USA	50-100% Sign Language Usage		Free Short		In the last weeks of her final semester, a rebellious activist student tries to pass English class to graduate, despite her professor, who focuses on winning a Faculty of the Year award.	https://deafmovie.org/title/beyond-essays/
Beyond Inclusion		Short	April 14, 2016	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Nyle DiMarco	Ryan Commerson			American Sign Language	USA	50-100% Sign Language Usage		Free Short		Pro-diversity advocates have succeeded in replacing the the Americans with Disabilities Act of 1990 with a motion that recognizes human diversity. This was done to ensure the law is inclusive of all possible variation in the human race, genetic or otherwise. Ash (Nyle DiMarco) and Tavi’s celebration is short-lived as Ash considers that while the law has changed, and technology has made it easy for all sorts of people to interact, the needed cultural transformation has not happened. People and traits once deemed “disabled” or “undesirable” are still being systematically engineered for removal. A series of interactions through the film show that it is possible through love and the power of the human spirit for humanity to recognize and acknowledge the value of human diversity.	https://deafmovie.org/title/beyond-inclusion/
Beyond Silence  (orig. title: Jenseits der Stille)	01 hours 49 minutes	Drama; Music	December 19, 1996	Movies with Deaf Actors | Supporting Roles; Movies	Emmanuelle Laborit; Howie Seago				German Sign Language; German	Germany; EUR				tt0116692	Since the earliest days in her childhood Lara has had a difficult but important task. Both her parents are deaf-mute and Lara has to translate from sign-language to the spoken word and vice versa when her parents want to communicate with other people. Getting older and more mature she becomes interested in music and starts to play clarinet very successfully. However her parents are deaf, they cannot share Lara’s musical career. The day comes when Lara has to decide between her parents and her own ambitions.	https://deafmovie.org/title/beyond-silence/
Big Bird’s Birthday or Let Me Eat Cake		Comedy; Family; Music	March 15, 1991												N/A	https://deafmovie.org/title/big-birds-birthday-or-let-me-eat-cake/
Big City Greens	17 minutes	Adventure; Comedy; Animation	June 18, 2018						American Sign Language; English	USA					It is an animated comedy-adventure series which follows the offbeat adventures of 10-year-old Cricket Green, a mischievous and optimistic country boy who moves to the big city with his wildly out of place family – older sister Tilly, father Bill and Gramma Alice. Cricket’s natural curiosity and enthusiasm lead him and his family on epic journeys and into the hearts of his new neighbors.	https://deafmovie.org/title/big-city-greens/
Billy Joel: We Didn’t Start the Fire		Music; Short	September 7, 1989	Shorts with Deaf Actors | Supporting Roles	Marlee Matlin										N/A	https://deafmovie.org/title/billy-joel-we-didnt-start-the-fire/
Billy Was a Deaf Kid		Comedy	February 18, 2009	Movies with No Deaf Actors | Leading Roles; Movies											Archie has made a discovery that will change the world forever. A toy radio. Archie’s brother Billy, is deaf. So, Archie duct tapes the radio to his head, to help him explore a world full	https://deafmovie.org/title/billy-was-a-deaf-kid/
Birmingham Made Me			August 3, 2023	x Documentaries by Deaf Directors	Rinkoo Barpaga	Rinkoo Barpaga			British Sign Language	United Kingdom		BSLZone	Free Documentary		Rinkoo Barpaga is making a name for himself in the comedy circuit and adds street photography to his creative output . As a Deaf Asian man, his journey to success hasn’t been easy. In this revealing programme, Rinkoo shares the ups and downs of growing up in Birmingham through a mix of live comedy and reflective moments on the streets of the city he calls home. Directed by Rinkoo Bagpaga; a Drummer TV production for BSLBT.	https://deafmovie.org/title/birmingham-made-me/
Bla, Bla, Bla!	8 minutes	Drama; Short	January 1, 2013				David Rodríguez		Spanish Sign Language; Spanish	Spain; EUR	x Mime; 0–1% Sign Language Usage	Idendeaf	Free Short		A colorful and noisy school for the students turns into a dark and silent place for three of them: a deafblind boy and a deaf boy and girl. A mysterious character, along with their gadgets, brings color and sound through educational games, breaking barriers and showing us that there are ways to make the world a home for everyone.	https://deafmovie.org/title/bla-bla-bla/
Black		Drama	February 4, 2005	Movies with No Deaf Actors | Leading Roles; Movies											Based in Simla, the McNallys are an Anglo-Indian family consisting of Paul and his wife, Catherine. Both are full of joy when Catherine gives birth to a baby girl, Michelle, but their joy is short-lived when they are told that Michellle cannot see nor hear. Both attempt to bring up Michelle in their own protective way, as a result Michelle is not exposed to the real world, and becomes increasingly violent and volatile. Things only get worse when Catherine gives birth to Sara, and Paul considers admitting Michelle in an asylum. It is here that Debraj Sahai enters their lives. Through his eager involvement, Michelle blossoms, grows, gives up her violence, even gets admitted in school with normal children. The years pass by, Michelle does not succeed in getting her graduation, and it is time for Debraj to bid adieu as he is having his own health problems. 12 years later, at the age of 40, Michelle does succeed in graduating in Arts, and it is shortly thereafter she will be re-united with her teacher. No longer the same alcoholic, eccentric, – but a bent older male, who cannot even remember speech, leave alone what he taught. Watch what happens when Michelle attempts to re-enter his ‘blank’ life.	https://deafmovie.org/title/black-2/
Black Rabbit		Drama; Crime; Mystery	September 18, 2025		Troy Kotsur				American Sign Language; English	USA		Netflix			When the owner of a New York City hotspot allows his turbulent brother back in his life, he opens the door to escalating dangers that threaten to bring down everything he’s built.	https://deafmovie.org/title/black-rabbit/
Black Sand		Horror	March 1, 2010	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies	Evelina Gaina; Paul Amann; Jotte Paulone; Micaela Paulone; Tommy Korn				American Sign Language	USA	50-100% Sign Language Usage				A bunch of deaf people go to an island but things get spooky	https://deafmovie.org/title/black-sand/
Blasted		Drama; Short; History; News	February 28, 2013	Shorts with No Deaf Actors | Leading Roles											The lives of 3 men collide in a London toilet with unforeseen consequences, yet this could happen in 42 countries across the world. It’s a social ticking time bomb nobody wants to discuss. Will you…?	https://deafmovie.org/title/blasted/
Blinker en het Bagbag-juweel	01 hours 32 minutes	Action; Adventure; Family	December 20, 2000	Movies with Deaf Actors | Supporting Roles; Movies	Marjolijn Dua				Dutch	Belgium; EUR				tt0272010	Blinker just can’t help playing detective, especially when a mystery stirs up the village. This time, he’s on the trail of the stolen family jewels of the late baroness—and the thieves behind their disappearance. His obsession turns reckless, pulling his girlfriend Nelle and her deaf niece Sara (played by deaf actress Marjolijn Dua) into a series of thrilling and dangerous adventures.	https://deafmovie.org/title/blinker-en-het-bagbag-juweel/
Blue Gush		Short	March 3, 1993	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Robert Hoskin			Japanese Sign Language	Japan					Full Clip	https://deafmovie.org/title/blue-gush/
